lyrics
youre walking taller than you should the air is thin around your beautiful head youre saying things with your mouth to me that i dont recognize youre aware of yourself lately redefining yourself designing yourself you havent looked at me forever got a diagram of your associations a strategy youre weighing your options what would you trade me for youre measuring me lately and i can tell and i can tell im losing weight youre measuring me lately youre dressing me do not tell me ive changed youre just raising your standards do not give me away i am the same i am the same have you found him have you told him everything does he say he feels bad about all this youve shown tenderness for me tenderness for me to him do not tell me ive changed youre just raising your standards do not give me away i am the same i am the same
bottle eyes glassy blue i watch the rain come out of you sky is white with the flu im terrified of losing you if i go to the sea ill bring you down down with me if i go to the rain youll never see me again youve got cold girl fever i promised to leave if you ever went cold then leave when im sleeping you told me put your spine in your back and your arms in your coat dont hold on to me when theres nothing to hold youve got cold girl fever its not what you said but thats what you meant im losing my baby on promises kept what are you for what are you for now that i have hardcore youve got cold girl fever
ten years older than i was what i brought you down to see what i thought would make you fall in love wearing off on our dreams someday man im gonna be no different than the other rivers i tried to look at you but i couldnt break the ice you stood out there for an hour freezing put your hand around my back i guess you thought i needed that i never try to find you i hope you dont remember me i hope youre not alone wanted me to take you home you said youd rather be alone i never thought of that car is warm and we had wine but i couldnt find the perfect song now our furniture for the one with crows feet and i cant even remember the call sometimes i can feel your weight when i close my eyes seven times i was under you i never try to find you i hope you dont remember me i hope your not alone i dont wanna know what your thinking im looking out the window just fucking drinking shallow frame and shaky sticks but i know theres a river in me shallow minded adult tricks but i know theres a river in me
give my jewels to the army my silverware and jeans give my love to your family tell them anything give yourself to anyone give yourself away dont be a nightingale for anyones space to fill if i could id be your star again fall across your falling sky it takes a lot of little rain to make you feel like nothing anything anything you can do do to me for everything i did for you nothing i didnt try to take your love away i just never knew i had it there is nothing you can say to ever make me want you american there is nothing you can say to ever make me leave you american american mary if you kiss me kiss me with your silver eyes dont look at me like someone you dont recognize i didnt try to do this your arms around my shoulderblades are useless there is nothing you can say to ever make me want you american there is nothing you can say to ever make me leave you american american mary
and if you follow me son the window wrap around you carry from the ground you will never be alone you wait one turn to sunlight thats falling on a girl youre still outside the world shes reading books from empty women theyre givin beauty tips from empty hips and how is the water of the rain and how is the air of the wind and how are the arms of your mother shes holding you in watch them as they try to fly their kites inside their bedrooms that were only built for drinking your thoughts they never lasted long when you were under the sky above it you can hold a thought forever and how is the water of the rain and how is the air of the wind and how are the arms of your mother shes holding you in and how is the water of the rain and how is the air of the wind and how are the arms of your mother shes holding you in
i thought id come to you and your long lazy scene instate direction finger on a magazine id call you when i need you i cant get used to your new name send a body double over with your keys shell see you in an hour everybody quiet please essex house is down the road the actors want to be alone your room is still and soft as a jewelers incidental music coming down the hall remember when i never had to wait for you at all i wish my hands were yours as i lay your keys on a magazine take me to laguardia my babys gonna pay for me bottle from the dutyfree ill drink it all across the sea lay me down business class headphones and a sleeping mask shes gonna pay for me shes gonna pay for me brother i wish you were home just tell me youre not alone call me back im on a plane i think im somewhere over spain im in the dark without the stars ive never seen a black suit dark thought id be above the rain somewhere on a higher plane oh brother i wish you were home my brother i wish you were home baby youre asleep by now you never stayed awake for me you never waited up for me no you never waited up for me now theres nothing i can do i lost you but i beat the sound couldnt if i wanted to the cogwheel doesnt turn around oh brother i wish you were home my baby is in a room alone my brother i wish you were home
sweetie you dont look so good your bottom lip is bleeding i cut it on your collarbone go on go back to sleep sugar who were you thinking of you woke me with your breathing honey how am i supposed to tell if i were a spy in the world inside your head would i be your wife in a better life you led thought i saw you on the stairs of this american century i went up through all the years you were years ahead of me remember when you dipped your hand i never saw it coming you took the wind out of me if i were a spy in the world inside your head would i be your wife in the better life you led id do you better than you do id do you better than you ever will when i am on bitters and absolut if i were a spy in the world inside your head would i be your wife in a better life you led id do you better than you do id do you better than you ever will when i am on bitters and absolut
i wanted to show you johns star and lay down with you in strawberry fields you said quotyoure gonna lay down here youre gonna lay down alonequot i thought i told you i was ruined by the stones i dont ever want you to come home again i dont want to hear your call your voice in my room i am divine my arms are stronger than rivers and when you feel that way you want to feel that way again forever once ruined baby you stay ruined yeah once ruined baby you stay ruined anything is beautiful and i blame you i woke up in your sheets of rain and everything you touch around here you leave a stain once ruined baby you stay ruined yeah once ruined baby you stay ruined
you stand now on yourself a little moon is coming in the room you stand there still like you were in the arms of everyone you ever wanted i was watching you well i wont stop you i wont speak the water on your cheek is the only thing smooth and im ashamed that im ashamed of you standing in my room lest more water overtake you and i was watching you watching you well why wont you leave me quicker why wont you leave me im ashamed that im ashamed of you for standing in my room lest more water overtake you i wont stop you and i wont speak why wont you leave me quicker why wont you leave me
where crybabies cry in the united states bright white on both sides like a plate nobody listens nobody should itd be a waste of attention not enough money to buy a pc so i come in this weekend asleep on my feet and if i forget you ill have nobody left to forget i guess thats what assholes get traded my day light for a career but i need you to disprove my theory of the crows pouring my fingers across the keys will someone review my salary please im selling my time to the man who sells style that time should be mine to waste on you ill suck off investors ill suck off vcs im losing my posture from time on my knees they treat me so well cause ill do anything its in my nature of service but ill need you to disprove my theory of the crows kids of the wealthy are raised by the poor you send daughters to los angelos and new york i need mine to see me when i wake up i need mine to know that im what they come to when they come home
could you tell the enchantment i said goodbye i met a girl called disillusionment could you tell her i made the headlines this boy drawed wings on everything could you tell her to check the headlines this boy burns angels in the river you know i dreamed about you for years before i saw you you know i dreamed about you i missed you for years bird that flys out of order underneath the sky i run up to the rainbow girl just to pass it by ill never have a change of heart i swore id never sing i have no heart this one is gone and now i wear the wings you know i dreamed about you for years before i saw you you know i dreamed about you i missed you for years you know i dreamed about you for years before i saw you you know i dreamed about you i missed you for years you know i dreamed about you for years before i saw you
everyone is watching but nobody is watching for you i dont wanna turn it on it only makes me sad for you i know you can play piano that was just a talent show ive never known you like i know you i never wanted you to go youre on the rocks in a twopiece suit the dead location of the dying suit you gave lawrence a big salute texas brought them to their knees indiana pushes you on the stairs your independent declaration sounded too much like a prayer but ill wake up and wait there for you ill wait there for you anna freud no confidence in anna anna freud remember what they said to you everyone will know us now we love you babe you make us proud dont come home without he crowd dont come back to long this town we always knew youd let us down dont come back without the crown anna freud no confidence in anna anna freud but ill wake up and wait there for you ill wait there for you
never look her in the eyes never tell the truth if she knows youre paper you know shell have to burn you never tell the one you want that you do save it for the deathbed when you know you kept her wanting you and do everything shed never do fall asleep with strangers wives the wild wives of unknown men good for you youve just become just another one of them never say you miss her never say a word and do everything shed never do dont let her see your cardinal eyes dont let her see your cardinal eyes let her treat you like a criminal so you can treat her like a priest girls forgive my human mind girls forgive me one more time never tell the one you love that you do save it for the deathbed and do everything shed never do dont let her see your cardinal eyes dont let her see your cardinal eyes jesus christ you have confused me cornered wasted blessed and used me forgive me girls i am confused stiff and pissed and lost and loose jesus christ you have confused me cornered wasted blessed and used me forgive me girls i am confused stiff and pissed and lost and loose
